CIK,company,issue_type,notes,severity,ticker
0001530721,Capri Holdings Ltd,foreign_issuer_review,Foreign issuer or IFRS taxonomy/forms detected; review reporting frequency and concept mappings.,INFO,CPRI
0001517396,STRATASYS LTD.,foreign_issuer_review,Foreign issuer or IFRS taxonomy/forms detected; review reporting frequency and concept mappings.,INFO,SSYS
